Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,Longitude,Latitude,location
2008,56,101207,101207,184-186 Bourke Street MELBOURNE 3000,Melbourne (CBD),Hollywood Karaoke Bar,"Level 1, 184-186 Bourke Street MELBOURNE 3000",4520,"Pubs, Taverns and Bars",Seats - Indoor,150,144.96768778515002,-37.81267605070296,"-37.81267605070296, 144.96768778515002"
2008,56,105838,105838,189-191 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Westlake Restaurant,189-191 Little Bourke Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,200,144.96695486205,-37.812193953390675,"-37.812193953390675, 144.96695486205"
2008,56,108538,108538,163-169 Russell Street MELBOURNE 3000,Melbourne (CBD),Altitude,"Floor 1, 163-165 Russell Street MELBOURNE 3000",4520,"Pubs, Taverns and Bars",Seats - Indoor,150,144.96764728856851,-37.81246628265,"-37.81246628265, 144.96764728856851"
2008,56,108538,108538,163-169 Russell Street MELBOURNE 3000,Melbourne (CBD),Russell Street King's Kebab,163 Russell Street MELBOURNE 3000,4512,Takeaway Food Services,Seats - Indoor,15,144.96764728856851,-37.81246628265,"-37.81246628265, 144.96764728856851"
2008,56,108538,108538,163-169 Russell Street MELBOURNE 3000,Melbourne (CBD),Russell Street King's Kebab,163 Russell Street MELBOURNE 3000,4512,Takeaway Food Services,Seats - Outdoor,4,144.96764728856851,-37.81246628265,"-37.81246628265, 144.96764728856851"
2008,56,108539,108539,171-173 Russell Street MELBOURNE 3000,Melbourne (CBD),Nam Loon Seafood Restaurant,171-173 Russell Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,64,144.96758976217336,-37.8123810992,"-37.8123810992, 144.96758976217336"
2008,56,108541,108541,179 Russell Street MELBOURNE 3000,Melbourne (CBD),Teppansan,179 Russell Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,50,144.9675314874737,-37.81225892585,"-37.81225892585, 144.9675314874737"
2008,57,101210,101210,164-166 Bourke Street MELBOURNE 3000,Melbourne (CBD),Funky Curry,"Ground , 164-166 Bourke Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,8,144.96838589335,-37.81247283971676,"-37.81247283971676, 144.96838589335"
2008,57,101211,101211,160-162 Bourke Street MELBOURNE 3000,Melbourne (CBD),White Tomato,160-162 Bourke Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,60,144.968470251,-37.812449128849735,"-37.812449128849735, 144.968470251"
2008,57,101211,101211,160-162 Bourke Street MELBOURNE 3000,Melbourne (CBD),White Tomato,160-162 Bourke Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Outdoor,8,144.968470251,-37.812449128849735,"-37.812449128849735, 144.968470251"
