lifespan_numeric,industry_cafe,log_seats,outdoor_seating,mixed_seating,same_ind,other_ind,on_best_street,on_worst_street,clue_melbourne__cbd_,clue_carlton,clue_docklands,clue_southbank,clue_north_melbourne,clue_west_melbourne__residential_,clue_east_melbourne,clue_parkville,clue_melbourne__remainder_,clue_kensington,property_competition
8,1,4.736198448394496,0,0,114,16,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,4.465908118654584,0,0,129,16,0,0,1,0,0,0,0,0,0,0,0,0,0
9,1,4.61512051684126,0,0,65,2,0,0,1,0,0,0,0,0,0,0,0,0,0
9,1,4.394449154672439,0,0,134,16,0,0,1,0,0,0,0,0,0,0,0,0,0
7,1,4.394449154672439,0,0,79,6,0,0,1,0,0,0,0,0,0,0,0,0,0
9,1,4.394449154672439,0,0,160,27,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,4.418840607796598,0,1,66,4,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,4.330733340286331,0,0,228,34,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,4.330733340286331,0,0,258,41,0,0,1,0,0,0,0,0,0,0,0,0,0
7,1,3.970291913552122,0,0,200,28,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,3.6375861597263857,0,0,166,22,0,0,1,0,0,0,0,0,0,0,0,0,0
5,1,4.61512051684126,0,0,203,32,0,0,1,0,0,0,0,0,0,0,0,0,0
17,1,3.4965075614664802,0,0,73,4,0,0,1,0,0,0,0,0,0,0,0,0,1
22,1,3.9318256327243257,0,0,73,4,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,3.871201010907891,0,0,256,41,0,0,1,0,0,0,0,0,0,0,0,0,1
16,1,4.30406509320417,0,1,72,4,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,2.5649493574615367,0,1,22,166,0,0,1,0,0,0,0,0,0,0,0,0,1
8,0,2.6390573296152584,0,1,7,85,0,0,1,0,0,0,0,0,0,0,0,0,1
3,1,5.442417710521793,0,1,69,4,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,4.007333185232471,0,0,219,43,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,3.4339872044851463,0,0,170,32,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,2.772588722239781,0,0,22,148,0,0,1,0,0,0,0,0,0,0,0,0,0
22,1,4.543294782270004,0,1,71,4,0,0,1,0,0,0,0,0,0,0,0,0,0
5,1,3.713572066704308,0,0,113,16,0,0,1,0,0,0,0,0,0,0,0,0,0
